Start          ;End            ;Activity;LifeCycles
01/12/2012 18:53;01/12/2012 20:36;Spare_Time/TV;20
01/12/2012 21:10;01/12/2012 21:10;Grooming;20
01/12/2012 21:20;02/12/2012 01:25;Leaving;20
02/12/2012 01:32;02/12/2012 01:33;Grooming;20
02/12/2012 01:38;02/12/2012 01:39;Toileting;20
02/12/2012 01:41;02/12/2012 09:20;Sleeping;21
02/12/2012 09:25;02/12/2012 09:25;Toileting;21
02/12/2012 09:26;02/12/2012 10:16;Sleeping;21
02/12/2012 10:20;02/12/2012 10:21;Toileting;21
02/12/2012 10:26;02/12/2012 10:33;Breakfast;21
02/12/2012 11:34;02/12/2012 11:35;Toileting;21
02/12/2012 11:35;02/12/2012 11:49;Grooming;21
02/12/2012 11:53;02/12/2012 11:53;Grooming;21
02/12/2012 12:24;02/12/2012 12:56;Snack;21
02/12/2012 13:37;02/12/2012 13:59;Leaving;21
02/12/2012 15:14;02/12/2012 15:33;Lunch;21
02/12/2012 16:45;02/12/2012 16:59;Snack;21
02/12/2012 17:10;02/12/2012 18:45;Spare_Time/TV;21
02/12/2012 18:46;02/12/2012 18:47;Toileting;21
02/12/2012 19:10;02/12/2012 19:11;Toileting;21
02/12/2012 19:16;02/12/2012 20:03;Spare_Time/TV;21
02/12/2012 20:09;02/12/2012 20:21;Spare_Time/TV;21
02/12/2012 20:29;02/12/2012 20:29;Grooming;21
02/12/2012 20:41;03/12/2012 01:03;Spare_Time/TV;21
